Intent,Utterance,BOI Tag,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some jalapenos,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some black olives,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some pickles,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some capsicum,o o b -veggies,,,,,,,,,,,,,,,,,,,,
s_sauce,I will have creamy italian,o o o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add golden Italian,",o  b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,please add savory caesar and sriracha,o o  b-sauce i-sauce o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"i will have sriracha,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce," add tzatziki cucumber,",o  b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"i will have sweet and mild,",o o o b-sauce o i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add bbq,",o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Oil,", b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add Red Wine Vinegar, buffalo sauce and baja chipotle",o b-sauce i-sauce i-sauce b-sauce o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Regular Mayonnaise,", b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Yellow mustard,", b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Honey mustard,", b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"buffalo sauce,", b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"sweet onion teriyaki,", b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"pepper corn ranch,", b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"baja chipotle,",b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"mvp parmesan vinaigrette,", b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,roasted garlic aioli, b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have hearty italian,",o o o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_bread,"do you have 9-grain honey oat,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"i will go for jalapeno cheese,",o o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"I'd like monterey cheddar,",o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"parmesan oregano,will be good",b-bread i-bread o o o  ,,,,,,,,,,,,,,,,,,,,
s_bread,"I'd like to have roasted garlic,",o o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have rosemary & sea salt,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"only rye bread,",o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"do you have gluten-free,",o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"yes 9-grain wheat,",o b-bread i-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"yes multi-grain flatbread,",o b-bread i-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"italian, will be good",b-bread o o o  ,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have italian herbs & cheese,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"flatbread,",b-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"italian white bread,",b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"garlic, bread",b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,plain bread., b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_veggies, Red onions,b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, Some red onions ,o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, Black olives ,b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, I think I'll have the black olives ,o o o o o  b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, I'm good with jalapenos ,o o o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, Add jalapenos ,o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, Add banana peppers ,o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies, Put some green peppers ,o o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
d_sauce, I don't want to oil,o o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, some red wine vinegar ,o b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, The regular mayonnaise ,o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Add yellow mustard ,o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Some honey mustard ,o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, The buffalo sauce ,o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, Add the buffalo sauce ,o o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Add some sweet onion teriyaki ,o o o  b-sauce i-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, The teriyaki sauce ,o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Onion teriyaki ,b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Can I have the peppercorn Ranch ,o o o o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, Some Baja Chipotle,o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, The Baja Chipotle please ,o b-sauce i-sauce o,,,,,,,,,,,,,,,,,,,,
s_sauce, Add Baja Chipotle ,o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, Can I have the parmesan vinaigrette instead ,o o o o b-sauce i-sauce o,,,,,,,,,,,,,,,,,,,,
s_sauce, Add garlic aioli ,o b-sauce i-sauce ,,,,,,,,,,,,,,,,,,,,
s_sauce, Get me some of that garlic aioli ,o o o o o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce, Garlic aioli is good ,b-sauce i-sauce o o,,,,,,,,,,,,,,,,,,,,
greetings,"hi, how are you today?",b-greetings i-greetings i-greetings i-greetings,,,,,,,,,,,,,,,,,,,,"hi, how are you today?"
greetings,hello,b-greetings ,,,,,,,,,,,,,,,,,,,,hello
greetings,hi there,b-greetings o,,,,,,,,,,,,,,,,,,,,hi there
agree,  that sounds good,o b-agree i-agree,,,,,,,,,,,,,,,,,,,,
agree,  that should be good,o o o b-agree ,,,,,,,,,,,,,,,,,,,,
agree,  yes that's right,b-agree o b-agree ,,,,,,,,,,,,,,,,,,,,
agree,  that's right,o b-agree ,,,,,,,,,,,,,,,,,,,,
agree,  yep that's the one,b-agree o o o ,,,,,,,,,,,,,,,,,,,,
repeat,  can you repeat that ,o o b-repeat o,,,,,,,,,,,,,,,,,,,,
disagree,no that's not it,b-disagree o b-disagree o,,,,,,,,,,,,,,,,,,,,
disagree,I don't want that,o b-disagree o o,,,,,,,,,,,,,,,,,,,,
s_addons,Add some capicola,o o b-addons,,,,,,,,,,,,,,,,,,,,
s_addons,I will have smashed avocado,o o o b-addons i-addons,,,,,,,,,,,,,,,,,,,,
s_addons,Make avocado sliced,o b-addons i-addons,,,,,,,,,,,,,,,,,,,,
s_addons,Add some bacon,o o b-addons,,,,,,,,,,,,,,,,,,,,
s_addons,put some pepperoni,o o b-addons,,,,,,,,,,,,,,,,,,,,
s_addons,I have a belgioioso fresh mozzarella,o o o b-addons i-addons i-addons,,,,,,,,,,,,,,,,,,,,
s_seasonings,I will have black pepper,o o o b-seasonings,,,,,,,,,,,,,,,,,,,,
s_seasonings,Add some salt,o o  b-seasonings,,,,,,,,,,,,,,,,,,,,
s_seasonings,Add some oregano,o o  b-seasonings,,,,,,,,,,,,,,,,,,,,
s_seasonings,Put some Parmesan cheese,o o o b-seasonings i-seasonings,,,,,,,,,,,,,,,,,,,,
s_desserts,I'd like Double chocolate,o o b-desserts i-desserts,,,,,,,,,,,,,,,,,,,,
s_desserts,add some chocolate chips,o o b-desserts i-desserts,,,,,,,,,,,,,,,,,,,,
s_desserts,I'd like to have Raspberry cheesecake,o o o o b-desserts i-desserts,,,,,,,,,,,,,,,,,,,,
s_desserts,add some White chip macadamia nut,o o b-desserts i-desserts i-desserts i-desserts,,,,,,,,,,,,,,,,,,,,
s_desserts,i will have Oatmeal raisins,o o o b-desserts i-desserts,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_subway_clubs,I'd like to order clubs ,o o o o b-subway_clubs,,,,,,,,,,,,,,,,,,,,
s_subway_clubs,I'd like to order All american club,o o o o b-subway_clubs i-subway_clubs,,,,,,,,,,,,,,,,,,,,
s_subway_clubs,I'd like to order subway club,o o o o b-subway_clubs i-subway_clubs,,,,,,,,,,,,,,,,,,,,
s_subway_clubs,I'd like to order the turkey cali club,o o o o b-subway_clubs i-subway_clubs i-subway_clubs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Black Forest ham,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Buffalo chicken,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order the B.L.T.,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Chicken and bacon ranch,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Cold cut combo,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Grilled chicken,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Italian b.m.t.,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Meatball marinara,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Oven roasted turkey,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Roast beef,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Rotisserie-style chicken,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Spicy Italian,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Steak and cheese,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order Sweet onion chicken,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order tuna,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order a veggie Delight,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
s_classic_sandwiches,I'd like to order veggie patty,o o o o b-classic_sandwiches,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will have no-look chicken,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will have the frontcourt feast,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will have the meatball Marksman,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I prefer the vaultwich,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I prefer the turkeyvert,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will order avocado spike bowl,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will try the beef mode,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,The benissimo should be good,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I'd like to order the grand salami,,,,,,,,,,,,,,,,,,,,,
s_online exclusives,I will have the dangerwich,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order some fresh melts,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order buffalo chicken melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Chicken and bacon ranch melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Ham and cheese melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Italian b.m.t. melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order meatball marinara melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Oven roasted turkey melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Spicy Italian melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Steak and cheese melt,,,,,,,,,,,,,,,,,,,,,
s_fresh melts,I'd like to order Tuna melt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order Black Forest ham bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order Buffalo chicken bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order a BLT Bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order chicken and bacon ranch Bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order a bottle of cold cut combo,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I will go for grilled chicken bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order Italian b.m.t. Bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order meatball marinara Bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order a bowl of oven roasted turkey,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'll have oven roasted turkey and ham bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'd like to order roast beef bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'll have rotisserie style chicken bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,One spicy Italian bowl for me.,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'll have steak and cheese bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I will have sweet onion chicken teriyaki bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I'll have one tuna bowl,,,,,,,,,,,,,,,,,,,,,
s_no bready bowl,I will have a veggie patty Bowl,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order something from the wraps,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'll have Black Forest ham wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,One buffalo chicken wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I just have one BLT wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I will go for chicken and bacon ranch wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order cold cut combo wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I will have one Italian b.m.t. Wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I will go for one grilled chicken wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I will have one meatball marinara wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order oven roasted turkey wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order Oven roasted turkey and ham wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order Roast beef wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order rotisserie-style chicken wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order spicy Italian wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order Speak & cheese wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order sweet onion chicken wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order tuna wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order veggie Delight wrap,,,,,,,,,,,,,,,,,,,,,
s_wraps,I'd like to order veggie patty wrap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,I'd like to order something from salads,,,,,,,,,,,,,,,,,,,,,
s_salads,I'll have Black Forest ham salad,,,,,,,,,,,,,,,,,,,,,
s_salads,One buffalo chicken salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I just have one BLT salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I will go for chicken and bacon ranch salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order cold cut combo salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I will have one Italian b.m.t. salad,,,,,,,,,,,,,,,,,,,,,
s_salads,grilled chicken salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I will have one meatball marinara salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order oven roasted turkey salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order Oven roasted turkey and ham salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order Roast beef salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order rotisserie-style chicken salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order spicy Italian salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order Steak & cheese salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order sweet onion chicken salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order tuna salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order veggie Delight salad,,,,,,,,,,,,,,,,,,,,,
s_salads,I'd like to order veggie patty salad,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some avocado,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some guacamole,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some sweet peppers,",o o b-veggies i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some cucumbers and onions,o o b-veggies o i-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some green peppers,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some lettuce,o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some red onions,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some spinach,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some tomatoes,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some banana peppers,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some jalapenos,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some black olives,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,"add some pickles,",o o b-veggies,,,,,,,,,,,,,,,,,,,,
s_veggies,add some capsicum,o o b -veggies,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_sauce,I will have creamy italian,o o o b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add golden Italian,",o  b-sauce i-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,please add savory caesar and sriracha,o o  b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"i will have sriracha,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce," add tzatziki cucumber,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"i will have sweet and mild,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add bbq,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Oil,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"add Red Wine Vinegar, buffalo sauce and baja chipotle",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Regular Mayonnaise,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Yellow mustard,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"Honey mustard,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"buffalo sauce,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"sweet onion teriyaki,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"pepper corn ranch,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"baja chipotle,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,"mvp parmesan vinaigrette,",o o o b-sauce,,,,,,,,,,,,,,,,,,,,
s_sauce,roasted garlic aioli,o o o b-sauce,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
agree,"sounds good,",b-agree i-agree,,,,,,,,,,,,,,,,,,,,
agree,"yeah,",b-agree,,,,,,,,,,,,,,,,,,,,
agree,"yes please,",b-agree i-agree,,,,,,,,,,,,,,,,,,,,
agree,"yes,",b-agree,,,,,,,,,,,,,,,,,,,,
agree,"ok,",b-agree,,,,,,,,,,,,,,,,,,,,
agree,"cool,",b-agree,,,,,,,,,,,,,,,,,,,,
agree,"sure,",b-agree,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have hearty italian,",o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"do you have 9-grain honey oat,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"i will go for jalapeno cheese,",o o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"I'd like monterey cheddar,",o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"parmesan oregano,will be good",b-bread i-bread o o o  ,,,,,,,,,,,,,,,,,,,,
s_bread,"I'd like to have roasted garlic,",o o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have rosemary & sea salt,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"only rye bread,",o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"do you have gluten-free,",o o o b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"yes 9-grain wheat,",o b-bread i-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"yes multi-grain flatbread,",o b-bread i-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"italian, will be good",b-bread o o o  ,,,,,,,,,,,,,,,,,,,,
s_bread,"i will have italian herbs & cheese,",o o o b-bread i-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"flatbread,",b-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,"italian white bread,",b-bread i-bread i-bread,,,,,,,,,,,,,,,,,,,,
s_bread,"garlic, bread",b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
s_bread,plain bread., b-bread i-bread ,,,,,,,,,,,,,,,,,,,,
, I'd like all the seasoning,,,,,,,,,,,,,,,,,,,,,
, I'd like all the veggies ,,,,,,,,,,,,,,,,,,,,,
, I don't want any of the veggies ,,,,,,,,,,,,,,,,,,,,,
, No veggies please ,,,,,,,,,,,,,,,,,,,,,
, Some black pepper and Parmesan ,,,,,,,,,,,,,,,,,,,,,
, Some black pepper and salt ,,,,,,,,,,,,,,,,,,,,,
, Add the black pepper and parmesan cheese ,,,,,,,,,,,,,,,,,,,,,
, Add some bacon ,,,,,,,,,,,,,,,,,,,,,
, Yeah bacon,,,,,,,,,,,,,,,,,,,,,
, Sliced avocados ,,,,,,,,,,,,,,,,,,,,,
, Avocados ,,,,,,,,,,,,,,,,,,,,,
, Pepperoni ,,,,,,,,,,,,,,,,,,,,,
, I'd like I'd like to add on the pepperoni ,,,,,,,,,,,,,,,,,,,,,
, I want the pepperoni ,,,,,,,,,,,,,,,,,,,,,
, I have a fresh mozzarella ,,,,,,,,,,,,,,,,,,,,,
, Fresh mozzarella please ,,,,,,,,,,,,,,,,,,,,,
, Get me the mozzarella ,,,,,,,,,,,,,,,,,,,,,
, I'd like my avocado smashed ,,,,,,,,,,,,,,,,,,,,,
, I'd like my avocados smashed ,,,,,,,,,,,,,,,,,,,,,
, Some capicola please ,,,,,,,,,,,,,,,,,,,,,
, Remove the capicola ,,,,,,,,,,,,,,,,,,,,,
, I don't want the capicola anymore ,,,,,,,,,,,,,,,,,,,,,
, Just remove the avocado ,,,,,,,,,,,,,,,,,,,,,
