text,intent
I will have Red Onions,select
give me addons,select
Please add peppercorn ranch,select
Please add Cucumbers,select
get me Green Peppers,select
Please remove Italian Herbs & Cheese,deselect
I choose Tomato,select
remove  Spinach,deselect
I want American Cheese,select
I want Hearty Multigrain,select
Please add cheese,select
I will have size,select
give me Lettuce,select
I choose parmesan cheese,select
Please add Red Onions,select
No cheese,deselect
I choose Artisan Flatbread,select
Add Banana Peppers,select
I will have parmesan cheese,select
Please add sweet onion teriyaki,select
Please remove Pepper Jack,deselect
I want Cucumbers,select
Please remove honey mustard,deselect
I will have peppercorn ranch,select
Add bread,select
give me smashed avocado,select
I`d like to order smashed avocado,select
Please remove Artisan Italian,deselect
get me Artisan Flatbread,select
I want Jalapeños,select
get me Red Onions,select
remove  Cucumbers,deselect
Add buffalo sauce,select
I want black pepper,select
remove  American Cheese,deselect
get me honey mustard,select
I don`t want  size,deselect
Please add bacon,select
No Lettuce,deselect
I`d like to order bread,select
get me Lettuce,select
I choose yellow mustard,select
I don`t want  veggies,deselect
Please remove Provolone,deselect
I choose sliced avocado,select
Please add Lettuce,select
give me bacon,select
I will have addons,select
I don`t want  smashed avocado,deselect
I`d like to order black pepper,select
Add Black Olives,select
I want regular mayonnaise,select
I choose buffalo sauce,select
I choose Provolone,select
remove  Tomatoes,deselect
remove  bacon,deselect
I will have salt,select
Add Spinach,select
I want addons,select
No Spinach,deselect
I will have capicola,select
No veggies,deselect
I choose Italian Herbs & Cheese,select
Add Green Peppers,select
Add sauce,select
get me Pepper Jack,select
I want Banana Peppers,select
I will have Tomatoes,select
I choose Hearty Multigrain,select
I want Spinach,select
No Monterey Cheddar,deselect
I`d like to order addons,select
get me red wine vinegar,select
Please remove Spinach,deselect
I choose peppercorn ranch,select
No roasted garlic aioli,deselect
Please add honey mustard,select
Please add bread,select
remove  bread,deselect
No Tomatoes,deselect
get me baja chipotle,select
Please add size,select
give me sliced avocado,select
I want baja chipotle,select
I`d like to order Cucumbers,select
Add black pepper,select
get me sliced avocado,select
get me cheese,select
I`d like to order Pepper Jack,select
get me veggies,select
I choose 6,select
I choose addons,select
hey i would like to order a subway,greetings
I don`t want  Pickles,deselect
remove  Artisan Flatbread,deselect
I choose belgioioso fresh mozzarella,select
give me Hearty Multigrain,select
give me cheese,select
please remove Cucumber,deselect
I`d like to order Cucumber,select
Please add Hearty Multigrain,select
Please add black pepper,select
remove  black pepper,deselect
I choose Jalapeños,select
I will have Pickles,select
I will have Cucumber,select
remove  baja chipotle,deselect
Add Monterey Cheddar,select
give me salt,select
I`d like to order Banana Peppers,select
Please remove Swiss,deselect
remove  Swiss,deselect
I choose veggies,select
I`d like to order Monterey Cheddar,select
give me parmesan cheese,select
hey i`d like to order a subway,greetings
I want smashed avocado,select
Please add baja chipotle,select
No Red Onions,deselect
give me bread,select
get me size,select
remove  buffalo sauce,deselect
I want Black Olives,select
I`d like to order Italian Herbs & Cheese,select
Add belgioioso fresh mozzarella,select
I don`t want  cheese,deselect
give me Banana Peppers,select
Please remove smashed avocado,deselect
Please add Spinach,select
Please remove Tomato,deselect
Add honey mustard,select
hello i like to order a subway,greetings
Add roasted garlic aioli,select
I choose sauce,select
Please add 6,select
Please add regular mayonnaise,select
I`d like to order bacon,select
Please remove Black Olives,deselect
I want peppercorn ranch,select
Please remove parmesan cheese,deselect
I choose Pepper Jack,select
I`d like to order sliced avocado,select
I`d like to order Artisan Flatbread,select
I will have Tomato,select
I`d like to order sauce,select
I`d like to order oil,select
get me American Cheese,select
I`d like to order Tomatoes,select
hey i like to order a subway,greetings
get me mvp parmesan vinaigrette,select
I`d like to order cheese,select
Please remove cheese,deselect
Please add American Cheese,select
Please remove Monterey Cheddar,deselect
I don`t want  Provolone,deselect
I choose Spinach,select
No seasonings,deselect
I don`t want  Spinach,deselect
I`d like to order red wine vinegar,select
No pepperoni,deselect
Add capicola,select
I want sliced avocado,select
hi i like to order a subway,greetings
Please remove sauce,deselect
I don`t want  mvp parmesan vinaigrette,deselect
I will have Lettuce,select
remove  capicola,deselect
No parmesan cheese,deselect
Add salt,select
Please add red wine vinegar,select
I want roasted garlic aioli,select
get me bacon,select
I`d like to order mvp parmesan vinaigrette,select
No bread,deselect
remove  Banana Peppers,deselect
No oil,deselect
I don`t want  sauce,deselect
get me oil,select
hey i like to order a sub,greetings
hello i would like to have a subway
I will have red wine vinegar,select
I`d like to order yellow mustard,select
I don`t want  salt,deselect
Please add veggies,select
I choose cheese,select
Please remove buffalo sauce,deselect
No honey mustard,deselect
get me Banana Peppers,select
No Banana Peppers,deselect
I don`t want  footlong,deselect
No American Cheese,deselect
